,meanSeat1,meanSeat2,meanSeat3,meanSeat4,meanSeat5,meanSeat6,meanSeat7,meanSeat8,meanSeat9,meanSeat10,meanSeat11,meanSeat12,meanSeat13,meanSeat14,meanSeat15,meanSeat16,meanSeat17,meanSeat18,meanSeat19,meanSeat20,meanSeat21,meanSeat22,meanSeat23,meanSeat24,meanSeat25,meanSeat26,meanSeat27,meanSeat28,meanSeat29,meanSeat30,meanSeat31,meanSeat32,single_touch_object_10_surface_1,single_touch_object_11_surface_1,single_touch_object_1_surface_1,single_touch_object_2_surface_1,single_touch_object_3_surface_1,single_touch_object_4_surface_1,single_touch_object_5_surface_1,single_touch_object_6_surface_1,single_touch_object_7_surface_1,single_touch_object_8_surface_1,single_touch_object_9_surface_1,meanPole1,meanPole2,meanPole3,meanPole4,meanPole5,meanPole6,meanPole7,meanPole8,meanPole9,meanPole10,meanPole11,meanPole12,meanPole13,meanPole14,meanPole15,meanPole16,meanPole17,meanHoriz1,meanHoriz2,meanHoriz3,meanHoriz4
118,0.0,0.0,0.0,0.0,0.0,0.0,28.54739328105078,0.0,0.0,0.0,0.0,0.0,1382944.4137810464,117720.09218879831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.6776584028902,2.6540827796382094,4.4725989122363945,0.0,597.5629120098963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472819154709797,166590.58080030626,29.87193483861629,0.0,33.32440137870337,0.0,73.07769978525269,0.0,0.0,10587.630155385907,11330.230792236433,1671.4552375054311,7869.408403429414,11.960922146026915,30861.779078957527,5498.006199914606,6818.063241820705,15583.507185474713,117.65980734078536,284.7822014303138,0.00494732906973607,8796.82959516721,3600.1054878915975,24749.87359212595,2866.4026907223606,7708.47852690709,155.73435379383452,0.0,0.0,0.0
118,337.51725792853233,175.2277563336842,0.0,0.0,0.0,1341.9728880656432,0.0,0.0,0.0,1900.6761420083808,6195384.425745851,173875180.36107865,1887.5578409615064,23124.350852848074,0.0,0.0,0.0,15.534939636062699,8.712839938052104,42.874364955493455,33.25274373899542,5029.21542778463,21636.111245964326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42036.44502047854,0.0,1827.371117858865,0.0,545.5029033647113,129149.02832431268,354.1200484158341,38793.580186686166,1071.7266289472072,4.80178567680362,158965.92464835604,799.6098968623285,0.0,2611894.611406178,31441.648163136764,2943622.650324459,12676.884796944803,697436.3623022931,687394.4270846675,1385115.1775150124,1110884.760630149,1624.251173529784,27095.24040823096,9771.283971314528,1117215.7808297286,4365.157176187134,27757.53375562618,917236.8845920356,782778.7405949195,49706.9497181433,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699835.7111633426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268873.68578667974,0.0,168379.14119253441,0.0,263583.0660256608,0.0,0.0,0.0,305793.795274513,413063.1768328874,106955.57800148016,238643.66339283358,0.0,0.0,53589.14521367183,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,6.2877468507574354,0.0,0.0,0.0,0.0,2277.553579658256,15990.61604411517,0.0,0.0,3004145.4365330827,0.0,0.0,0.0009780576533746507,0.00044286748899963473,0.0016392243073281461,0.04469250592610262,3.068866004074983,1968.1646358773676,16434.007547617344,10.09120030848297,1.0205984894779474,0.0,0.0,0.0,0.0,83.43983007762697,298.1086302057744,0.0,0.0,17856.11542148408,0.0,0.0,0.0,966.0854241685817,50117.30060855962,1368.2337058815824,6.9632338956548665,25.266675626985545,0.005287504859354949,0.0,0.0,0.0,32.309818839417005,31.377287727697365,917.4726929704999,24517.907449854632,1842.661434015084,56.96988056040234,48949.18431321433,1586.1071671824864,14432.307384832598,75826.19170942147,240.47769544564343,30481.25100674358,4407.324253841408,136984.23511966673,212.85043131545734,135.72667230579276,12258.398917105536,777.580140916243,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.1973003528576,10397.929676972048,0.0,0.0,15252.965986853651,0.0,0.0,0.0,8140.674009752469,13260.19943465274,0.0,0.0,12662.04763708713,38074.32214579435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.3964529622659,1608.409813150731,5202.4671965805655,0.0,0.0,0.08838351670538516,0.0,0.0,149599.52544556226,934.6055349367346,89.11437513216183,2797775.7826049235,1283.840406362349,6832.659084602111,784.4934962935022,1682.4915633590892,111313.06034431141,8500.182673749629,74749.36753487712,5304.606120636242,6027.534112680378,337928.3660028459,4271.660652093862,3767.3551112552427,1978.6900042326452,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81167.23428172796,0.0,0.0,25513.402580902253,77968.57185372179,0.0,2685.1581145582363,35.72852995859745,0.0,0.0,23.88317115506253,283.2741363981044,0.0,2919.6381382464056,91200.56184574384,0.0,0.0,5672989.872372612,0.0,0.0
